שם יישוב,סמל יישוב,תעתיק,מחוז,נפה,אזור טבעי,מעמד מונציפאלי,שיוך מטרופוליני,דת יישוב,סך הכל אוכלוסייה 2020,יהודים ואחרים,מזה: יהודים,ערבים,שנת ייסוד,צורת יישוב שוטפת,השתייכות ארגונית,קואורדינטות,גובה ממוצע,ועדת תכנון,מרחב משטרה,שנה,שם יישוב באנגלית,אשכול רשויות מקומיות
"גליל תחתון מז של""ש",1822,,2,22,222,,,,,,,,,530,,2416075000,,,,2020,,
גלעד (אבן יצחק),369,GAL'ED (EVEN YIZHAQ),2,23,236,13,,1,499,498,484,1,1945,330,15,2074371811,185,254,10004411,2020,Gal'ed (Even Yizhaq),213
"גמ""ל מחוז דרום",1997,,6,62,623,,,,,,,,,530,,,,,,2020,,
גמזו,745,GIMZO,4,43,431,25,142,1,1213,1213,1213,,1950,310,8,1945464834,105,424,10002261,2020,Gimzo,
גן הדרום,1072,GAN HADAROM,4,44,441,32,143,1,638,638,626,,1953,310,10,1717663473,39,456,10001821,2020,Gan HaDarom,
גן השומרון,225,GAN HASHOMERON,3,32,324,14,,1,842,841,833,1,1934,310,10,2000870764,44,351,10004261,2020,Gan HaShomeron,
גן חיים,239,GAN HAYYIM,4,42,421,20,141,1,815,813,801,2,1935,310,1,1912867798,61,417,10002133,2020,Gan Hayyim,410
גן יאשיה,734,GAN YOSHIYYA,4,41,412,16,141,1,1010,1010,995,,1949,310,1,1996469519,32,409,15000060,2020,Gan Yoshiyya,
גן יבנה,166,GAN YAVNE,4,44,441,99,143,1,23925,23851,23094,74,1931,160,,1724863297,39,429,10001821,2020,Gan Yavne,
גן נר,1274,GAN NER,2,23,232,8,,1,2709,2704,2621,5,1987,190,,2320271533,156,204,10004394,2020,Gan Ner,213
גן שורק,311,GAN SOREQ,4,44,442,27,143,1,701,701,701,,1950,310,1,1775365029,37,456,15002488,2020,Gan Soreq,
גן שלמה,144,GAN SHELOMO,4,44,441,28,143,1,596,596,553,,1927,330,15,1810764287,45,456,15002488,2020,Gan Shelomo,420
גן שמואל,72,GAN SHEMU'EL,3,32,324,14,,1,942,941,924,1,1913,330,15,1955870649,23,351,10004261,2020,Gan Shemu'el,
גנות,836,GANNOT,4,43,432,40,133,1,592,592,586,,1953,310,10,1839465836,27,425,10002207,2020,Gannot,
גנות הדר,549,GANNOT HADAR,4,41,411,18,141,1,965,965,951,,1964,350,,1908469192,49,412,15000060,2020,Gannot Hadar,410
גני הדר,1103,GANNE HADAR,4,43,432,30,143,1,357,357,355,,1958,350,,1862764289,89,426,10002241,2020,Ganne Hadar,
גני טל,1371,GANNE TAL,4,44,441,31,143,1,898,898,898,,2010,370,2,1803963293,78,456,15002488,2020,Ganne Tal,420
גני יוחנן,862,GANNE YOHANAN,4,44,441,30,143,1,607,607,598,,1950,310,1,1848064064,63,426,10002241,2020,Ganne Yohanan,
גני מודיעין,3823,GANNE MODI'IN,7,74,,73,,1,2716,2715,2707,1,1996,190,,2017564847,236,711,10004054,2020,Ganne Modi'in,710
גני עם,218,GANNE AM,4,42,421,20,142,1,233,233,230,,1934,350,,1908667313,33,417,10002133,2020,Ganne Am,410
גני תקווה,229,GANNE TIQWA,4,42,422,99,132,1,21551,21536,21215,15,1953,160,,1883666302,74,428,10001516,2020,Ganne Tiqwa,
געש,842,GA'ASH,4,41,411,19,141,1,874,874,863,,1951,330,15,1836668178,29,401,15000060,2020,Ga'ash,
געתון,463,GA'TON,2,24,243,4,,1,694,692,675,2,1948,330,15,2204676792,345,201,10004302,2020,Ga'ton,212
גפן,39,GEFEN,1,11,112,26,,1,414,414,412,,1955,310,2,1885762761,159,151,15000597,2020,Gefen,
גרופית,1129,GEROFIT,6,62,625,53,,1,242,240,225,2,1963,330,15,2059442806,118,608,10001955,2020,Gerofit,610
גשור,4022,GESHUR,2,29,294,71,,1,289,289,279,,1971,330,15,2674574724,348,219,10004579,2020,Geshur,211
גשר,305,GESHER,2,23,231,7,,1,423,421,405,2,1939,330,15,2520072518,-199,202,10004568,2020,Gesher,214
גשר הזיו,574,GESHER HAZIW,2,24,245,4,241,1,1624,1615,1579,9,1949,330,15,2107977153,20,201,10004302,2020,Gesher HaZiw,212
גת (קיבוץ),340,GAT(QIBBUZ),6,61,611,35,,1,929,929,896,,1941,330,15,1805861511,140,632,10001813,2020,Gat(Qibbuz),420
גת רימון,128,GAT RIMMON,4,42,422,20,132,1,322,322,313,,1926,350,,1888366395,68,417,10002116,2020,Gat Rimmon,410
דאלית אל-כרמל,494,DALIYAT AL-KARMEL,3,31,311,99,223,2,17866,50,34,17815,,270,,2050573325,419,356,10004171,2020,Daliyat Al-Karmel,310
דבורה,146,DEVORA,2,23,234,8,,1,208,208,207,,1956,310,1,2250471761,69,204,10004394,2020,Devora,213
דבורייה,489,DABURIYYA,2,23,237,99,,2,10682,7,4,10675,,270,,2351373300,158,251,10004394,2020,Daburiyya,213
דבירה,849,DEVIRA,6,62,623,41,341,1,1043,1039,1015,3,1951,330,15,1831659134,306,625,10001937,2020,Devira,620
דברת,407,DAVERAT,2,23,234,9,,1,522,522,490,,1946,330,15,2330672817,170,254,10004394,2020,Daverat,213
דגניה א',62,DEGANYA ALEF,2,22,221,6,,1,525,524,520,1,1909,330,15,2541873489,-200,214,10004552,2020,Deganya Alef,214
דגניה ב',79,DEGANYA BET,2,22,221,6,,1,672,672,664,,1920,330,15,2542173403,-199,214,10004552,2020,Deganya Bet,214
"דוב""ב",1067,DOVEV,2,24,244,2,,1,478,478,474,,1963,310,1,2383977297,768,209,10004528,2020,Dovev,211
דולב,3747,DOLEV,7,74,,73,,1,1513,1513,1513,,1983,370,11,2127464816,556,711,10004054,2020,Dolev,710
דור,738,DOR,3,32,321,15,243,1,448,448,443,,1949,310,1,1929172372,4,303,10004333,2020,Dor,
דורות,336,DOROT,6,61,614,37,,1,850,849,822,1,1941,330,15,1663160175,105,651,10001829,2020,Dorot,620
דחי,475,DAHI,2,23,234,66,,2,715,,,715,,450,,2325872519,415,251,10004394,2020,Dahi,213
דייר אל-אסד,490,DEIR AL-ASAD,2,24,242,99,,2,12734,6,5,12728,,270,,2254176009,465,260,15002358,2020,Deir Al-Asad,210
דייר חנא,492,DEIR HANNA,2,24,241,99,,2,10486,15,,10471,,270,,2348075200,226,262,10004513,2020,Deir Hanna,
דייר ראפאת,493,DEIR RAFAT,1,11,112,26,444,2,103,1,,101,,440,,1950863156,247,151,15000597,2020,Deir Rafat,
דימונה,2200,DIMONA,6,62,626,0,,1,35269,35049,31696,220,1955,160,,2033055318,453,607,10001918,2020,Dimona,610
דישון,2063,DISHON,2,21,212,55,,1,339,338,331,1,1953,310,6,2488277637,442,253,10004591,2020,Dishon,211
דלייה,300,DALIYYA,2,23,236,13,,1,846,846,784,,1939,330,15,2072972171,201,254,10004411,2020,Daliyya,213
דלתון,431,DALTON,2,21,212,2,,1,866,866,866,,1950,310,2,2460576912,806,209,10004528,2020,Dalton,211
דמיידה,1317,DEMEIDE,2,24,241,56,241,2,537,,,537,,450,,2216374673,201,205,10004513,2020,Demeide,210
דן,303,DAN,2,21,211,1,,1,761,760,741,1,1939,330,15,2612479393,175,253,10004591,2020,Dan,211
דפנה,302,DAFNA,2,21,211,1,,1,987,986,975,1,1939,330,15,2599179280,141,253,10004591,2020,Dafna,211
דקל,1241,DEQEL,6,62,622,38,,1,362,362,354,,1982,310,10,1377356740,103,651,10001893,2020,Deqel,620
"דרום השרון מ""א 18",1881,,4,42,421,18,,,,,,,,530,,,,,,2020,,
"דרום השרון מ""א 20",1882,,4,42,421,20,,,,,,,,530,,1899068100,,,,2020,,
"דרום השרון של""ש",1885,,4,42,421,,,,,,,,,530,,1960067130,,,,2020,,
דרום יהודה,1998,,7,77,,,,,,,,,,530,,,,,,2020,,
דריג'את,1349,DERIG'AT,6,62,623,69,,2,1275,3,,1272,,450,,2072057882,557,624,10001937,2020,Derig'at,610
האון,702,HAON,2,22,221,6,,1,177,177,162,,1949,330,15,2585973681,-188,214,10004552,2020,HaOn,214
הבונים,675,HABONIM,3,32,321,15,243,1,371,371,367,,1949,320,15,1939572694,17,303,10004333,2020,HaBonim,
הגושרים,356,HAGOSHERIM,2,21,211,1,,1,918,918,875,,1948,330,15,2585379177,99,253,10004591,2020,HaGosherim,211
הדר עם,191,HADAR AM,4,41,411,16,141,1,692,692,689,,1933,310,10,1909169506,27,409,15000060,2020,Hadar Am,
הוד השרון,9700,HOD HASHARON,4,42,421,0,131,1,64489,64449,63016,40,1924,150,,1901867323,37,423,10002133,2020,Hod HaSharon,410
הודיות,1322,HODAYOT,2,22,222,3,,1,303,303,176,,1959,340,,2410774379,284,206,10004552,2020,Hodayot,214
הודייה,726,HODIYYA,6,61,614,36,,1,590,590,574,1,1949,310,1,1660062041,52,633,10001821,2020,Hodiyya,
הוואשלה (שבט),1169,HAWASHLA,6,62,623,,,3,,,,,,460,,2020055900,,699,10001918,2020,Al-Hawashila,
הוזייל (שבט),956,HUZAYYEL,6,62,623,,,3,,,,,,460,,1762059080,,699,10001946,2020,Al-Huzayyil,
הושעיה,1186,HOSHA'AYA,2,23,237,9,,1,2095,2095,2095,,1981,190,2,2276174046,221,254,15002369,2020,Hosha'aya,213
הזורע,250,HAZOREA,2,23,235,13,,1,921,921,880,,1936,330,15,2114872773,65,254,10004411,2020,HaZorea,213
הזורעים,307,HAZORE'IM,2,22,222,3,,1,1082,1082,1079,,1939,310,2,2473873908,-61,206,10004552,2020,HaZore'im,214
החותרים,434,HAHOTERIM,3,32,321,15,223,1,874,873,855,1,1948,330,15,1962473978,15,303,10004710,2020,HaHoterim,
היוגב,684,HAYOGEV,2,23,234,9,,1,745,745,738,,1949,310,1,2194972416,86,254,10004411,2020,HaYogev,213
הילה,1208,HILLA,2,24,243,52,,1,579,578,565,1,1980,370,19,2231777125,490,255,10004484,2020,Hilla,212
המעפיל,377,HAMA'PIL,4,41,412,16,141,1,860,860,850,,1945,330,15,1985969829,33,409,15000060,2020,HaMa'pil,
המרכז למחקר-נחל שורק,1751,,4,44,442,,143,,,,,,,520,,1718164583,21,,15002488,2020,,
הסוללים,677,HASOLELIM,2,23,237,9,242,1,963,960,940,3,1949,330,6,2225673956,171,254,10004426,2020,HaSolelim,213
העוגן,423,HAOGEN,4,41,411,16,141,1,932,932,900,,1947,330,15,1930669651,15,409,15000060,2020,HaOgen,
"הערבה מ""א 51",1944,,6,62,625,51,,,,,,,,530,,,,,,2020,,
"הערבה מ""א 53",1945,,6,62,625,53,,,,,,,,530,,2062043180,,,,2020,,
"הערבה מ""א 54",1946,,6,62,625,54,,,,,,,,530,,2159050670,,,,2020,,610
הר אדר,3769,HAR ADAR,7,74,,99,445,1,4084,4077,3971,7,1986,190,,2123263711,826,720,10002475,2020,Har Adar,710
"הר אלכסנדר מ""א 14",1869,,3,32,323,14,,,,,,,,530,,2050071490,,,,2020,,
"הר אלכסנדר מ""א 45",1868,,3,32,323,45,,,,,,,,530,,2009071920,,,,2020,,
"הר אלכסנדר של""ש",1870,,3,32,323,,,,,,,,,530,,2105071460,,,,2020,,
הר גילה,3603,HAR GILLO,7,76,,76,445,1,1627,1607,1565,20,1972,370,19,2163962544,889,714,10002521,2020,Har Gillo,
"הר הנגב הדרומי מ""א 48",1953,,6,62,627,48,,,,,,,,530,,1851048010,,,,2020,,610
"הר הנגב הדרומי מ""א 53",1951,,6,62,627,53,,,,,,,,530,,1883044330,,,,2020,,
"הר הנגב הדרומי מ""א 54",1952,,6,62,627,54,,,,,,,,530,,2040048240,,,,2020,,610
"הר הנגב הצפוני מ""א 48",1948,,6,62,626,48,,,,,,,,530,,1728052230,,,,2020,,610
"הר הנגב הצפוני מ""א 51",1949,,6,62,626,51,,,,,,,,530,,2189054410,,,,2020,,
"הר הנגב הצפוני מ""א 53",1947,,6,62,626,53,,,,,,,,530,,1658047710,,,,2020,,
"הר הנגב הצפוני מ""א 54",1950,,6,62,626,54,,,,,,,,530,,2054052480,,,,2020,,610
הר עמשא,1261,HAR AMASA,6,62,623,51,,1,220,216,191,5,1983,330,,2097158352,813,656,10001937,2020,Har Amasa,
הראל,464,HAR'EL,1,11,112,26,444,1,258,258,242,,1948,330,15,1953163517,199,151,15000597,2020,Har'el,
הרדוף,1249,HARDUF,2,23,237,9,242,1,1105,1101,1051,4,1982,330,15,2165274100,206,254,10004497,2020,Harduf,213
"הרי יהודה מ""א 26",1801,,1,11,111,26,,,,,,,,530,,2067063030,,,,2020,,
"הרי יהודה של""ש",1802,,1,11,111,,,,,,,,,530,,,,,,2020,,
הרי נצרת-תירען,1823,,2,23,237,,,,,,,,,530,,2351073910,,,,2020,,
"הרי נצרת-תירען מ""א 9",1839,,2,23,237,9,,,,,,,,530,,2227073890,,,,2020,,213
הרצלייה,6400,HERZLIYYA,5,51,511,0,121,1,98966,98804,93940,163,1924,150,,1845367521,38,504,10001605,2020,Herzliyya,
הררית,1203,HARARIT,2,24,241,56,,1,585,585,566,,1980,370,7,2346375011,477,205,10004513,2020,Hararit,210
השומרון,1999,,7,71,,,,,,,,,,530,,2235665137,,,,2020,,
ורד יריחו,3639,WERED YERIHO,7,75,,74,,1,360,360,351,,1980,310,10,2411063710,-157,713,10003314,2020,Wered Yeriho,710
ורדון,1133,WARDON,6,61,611,35,,1,272,272,264,,1968,350,,1793861911,100,632,10001813,2020,Wardon,420
זבארגה (שבט),2742,ZABARGA,6,62,623,,,3,,,,,,460,,2032057170,,699,15003711,2020,Az-Zabarika,
זבדיאל,815,ZAVDI'EL,6,61,611,34,,1,574,574,574,,1950,310,8,1773161858,90,631,10001813,2020,Zavdi'el,
זוהר,44,ZOHAR,6,61,612,50,,1,356,356,353,,1956,310,10,1708861156,117,634,10001813,2020,Zohar,
זיקים,584,ZIQIM,6,61,614,36,,1,857,841,801,16,1949,330,15,1546761323,24,633,10001829,2020,Ziqim,
זיתן,788,ZETAN,4,43,432,40,133,1,1039,1039,1035,,1950,310,1,1897765366,40,425,10002261,2020,Zetan,
זכרון יעקב,9300,ZIKHRON YA'AQOV,3,32,322,99,,1,23437,23380,22507,58,1882,160,,1958171960,78,353,10004333,2020,Zikhron Ya'aqov,
זכריה,799,ZEKHARYA,1,11,112,26,,1,1103,1102,1073,1,1950,310,1,1948662416,266,151,15000597,2020,Zekharya,
זמר,1290,ZEMER,4,41,412,99,141,2,7252,6,,7246,,280,,2035069681,86,458,10002155,2020,Zemer,
זמרת,1065,ZIMRAT,6,62,621,39,,1,648,647,646,1,1957,310,2,1574959529,122,651,10001930,2020,Zimrat,620
זנוח,816,ZANOAH,1,11,112,26,444,1,541,526,517,15,1950,310,8,2000062667,291,151,15000597,2020,Zanoah,
זרועה,2064,ZERU'A,6,62,621,39,,1,500,499,493,1,1953,310,2,1642959642,134,651,10001930,2020,Zeru'a,620
זרזיר,975,ZARZIR,2,23,237,99,242,2,8275,19,12,8256,,280,,2211273670,183,254,10004411,2020,Zarzir,213
זרחיה,818,ZERAHYA,6,61,611,34,,1,740,740,740,,1950,310,2,1759462110,72,631,10001821,2020,Zerahya,
ח'ואלד,1321,KHAWALED,3,31,311,12,222,2,710,,,710,,450,,2131074174,65,301,10004207,2020,Khawaled,310
ח'ואלד (שבט),986,KHAWALED,2,25,237,,,3,,,,,,460,,2150174051,,299,10004207,2020,Khawalid / Al-Khawalid,
חבצלת השרון,235,HAVAZZELET HASHARON,4,41,411,16,141,1,487,487,473,,1935,310,10,1872969635,23,409,10002089,2020,Havazzelet HaSharon,
חבר,1110,HEVER,2,23,234,8,,1,676,676,649,,1958,350,,2250871708,71,204,10004394,2020,Hever,213
חגור,717,HAGOR,4,42,421,20,142,1,1143,1143,1131,,1949,310,1,1951767159,35,417,15000658,2020,Hagor,410
חגי,3764,HAGGAY,7,77,,78,,1,676,676,676,,1984,370,11,2076160011,853,715,15003512,2020,Haggay,
חגלה,205,HOGLA,4,41,411,16,141,1,864,864,859,,1933,310,1,1932769927,19,409,15000060,2020,Hogla,
חד-נס,4026,HAD-NES,2,29,293,71,,1,854,854,803,,1989,370,9,2604175924,-10,219,10004579,2020,Had-Nes,211
חדיד,618,HADID,4,43,432,25,142,1,903,903,900,,1950,310,2,1936865290,66,424,10002168,2020,Hadid,
חדרה,6500,HADERA,3,32,324,0,,1,98908,97962,90624,946,1890,150,,1925470466,19,302,10004261,2020,Hadera,
חוג'ייראת (ד'הרה) (שבט),948,HUJEIRAT (DAHRA),2,24,241,56,,3,,,,,,460,,2278574887,,299,10004513,2020,Al-Hujayrat (Zahra),
חולדה,160,HULDA,4,43,432,30,143,1,1134,1134,1123,,1930,330,15,1889863766,119,426,10002241,2020,Hulda,
חולון,6600,HOLON,5,53,513,0,123,1,197246,196926,180449,320,1940,140,,1792565823,34,505,10001430,2020,Holon,
חולית,1239,HOLIT,6,62,622,38,,1,205,201,192,4,1980,330,15,1357357134,76,651,10001893,2020,Holit,620
חולתה,253,HULATA,2,21,211,1,,1,705,704,688,1,1937,330,15,2573277301,81,253,10004540,2020,Hulata,211
חוסן,662,HOSEN,2,24,243,52,,1,1176,1174,1125,2,1949,310,9,2280776697,477,255,10004484,2020,Hosen,212
חוסנייה,1332,HUSSNIYYA,2,24,242,56,,2,801,5,,796,,450,,2302975616,292,205,10004513,2020,Hussniyya,210
"חוף הכרמל מ""א 15",1864,,3,32,321,15,,,,,,,,530,,1947072760,,,,2020,,
חופית,115,HOFIT,4,41,411,16,141,1,801,801,789,,1955,350,,1883769905,16,409,15000060,2020,Hofit,
חוקוק,374,HUQOQ,2,22,221,6,,1,602,597,567,6,1945,330,15,2466775401,5,214,10004552,2020,Huqoq,214
חורה,1303,HURA,6,62,623,99,342,2,23103,27,16,23076,,260,,1938957840,416,652,10001937,2020,Hura,610
חורפיש,496,HURFEISH,2,24,244,99,,2,6490,1,,6489,,280,,2327376917,677,258,10004484,2020,Hurfeish,212
חורשים,355,HORESHIM,4,42,421,20,142,1,338,333,325,5,1955,330,15,1974467160,79,417,15000658,2020,Horeshim,410
חזון,1047,HAZON,2,21,214,2,,1,296,296,296,,1969,310,2,2372775686,443,209,10004465,2020,Hazon,211
חיבת ציון,219,HIBBAT ZIYYON,4,41,411,16,141,1,806,806,801,,1933,310,7,1919970042,29,409,15000060,2020,Hibbat Ziyyon,
חיננית,3643,HINNANIT,7,71,,72,,1,1477,1478,1309,,1981,370,13,2159770970,396,710,15004488,2020,Hinnanit,
חיפה,4000,HAIFA,3,31,311,0,210,4,283736,249773,213859,33964,ותיק,130,,2011274544,98,304,10004171,2020,Haifa,
חירות,162,HERUT,4,41,411,18,141,1,1267,1261,1252,6,1930,310,1,1921568300,60,412,15000060,2020,Herut,410
חלוץ,1272,HALUZ,2,24,243,56,,1,534,532,520,2,1985,370,13,2295476170,734,205,15002358,2020,Haluz,210
חלץ,820,HELEZ,6,61,614,36,,1,478,474,470,4,1950,310,1,1676360965,79,633,10001829,2020,Helez,
"חמ""ד",801,HEMED,4,43,432,40,133,1,1317,1317,1313,,1950,310,2,1849965847,26,425,10002207,2020,Hemed,
חמאם,993,HAMAM,2,22,221,65,,2,1530,2,2,1528,,450,,2461974838,-107,251,10004552,2020,Hamam,214
חמדיה,343,HAMADYA,2,23,231,7,,1,404,402,391,2,1942,330,15,2490971407,-169,202,10004568,2020,Hamadya,214
חמדת,3646,HEMDAT,7,75,,75,,1,310,310,310,,1980,370,11,2497768423,148,712,10003299,2020,Hemdat,710
חמרה,3609,HAMRA,7,75,,75,,1,259,259,250,,1971,310,10,2412967837,-46,712,10003299,2020,Hamra,710
חניאל,807,HANNI'EL,4,41,411,16,141,1,924,924,902,,1950,310,1,1954169328,31,409,15000060,2020,Hanni'el,
חניתה,280,HANITA,2,24,244,4,,1,746,746,716,1,1938,330,15,2166577698,338,201,10004302,2020,Hanita,212
חנתון,1257,HANNATON,2,23,237,9,241,1,992,991,983,1,1984,330,15,2232574324,188,254,10004497,2020,Hannaton,213
חספין,4005,HASPIN,2,29,294,71,,1,2007,2007,2005,,1973,190,,2746775022,419,219,10004579,2020,Haspin,211
חפץ חיים,363,HAFEZ HAYYIM,4,44,441,31,143,1,557,557,557,,1944,330,8,1811563304,76,456,15002488,2020,Hafez Hayyim,420
חפצי-בה,90,HEFZI-BAH,2,23,232,8,,1,723,722,701,1,1922,330,15,2400871389,-74,204,10004568,2020,Hefzi-Bah,213
חצב,700,HAZAV,6,61,611,33,143,1,1508,1508,1480,,1949,310,1,1782763212,62,616,10001821,2020,Hazav,420
חצבה,13,HAZEVA,6,62,625,54,,1,694,684,650,9,1965,310,1,2266751976,-156,657,10001918,2020,Hazeva,610
חצור-אשדוד,406,HAZOR-ASHDOD,6,61,611,33,143,1,648,648,626,,1937,330,15,1735963120,44,616,10001821,2020,Hazor-Ashdod,420
חצור הגלילית,2034,HAZOR HAGELILIT,2,21,213,99,,1,9569,9532,9304,37,1953,180,,2511776534,431,259,10004540,2020,Hazor HaGelilit,211
חצרים,397,HAZERIM,6,62,623,41,344,1,850,850,831,,1946,330,15,1726857216,240,625,10001900,2020,Hazerim,620
חרב לאת,422,HEREV LE'ET,4,41,411,16,141,1,930,930,911,,1947,310,10,1923970091,28,409,15000060,2020,Herev Le'Et,
חרוצים,1024,HARUZIM,4,41,411,19,141,1,857,857,843,,1951,350,,1874468161,45,401,15000060,2020,Haruzim,
חריש,1247,HARISH,3,32,323,99,,1,19567,19277,17804,290,1982,170,,2044270746,114,307,10004233,2020,Harish,
"חרמון מ""א 71",1960,,2,29,291,71,,,,,,,,530,,2685079910,,,,2020,,211
חרמש,3717,HERMESH,7,71,,72,,1,229,229,210,,1982,370,9,2114170327,238,710,15004488,2020,Hermesh,
חרשים,1209,HARASHIM,2,24,243,56,,1,356,356,338,,1980,370,19,2310076241,815,205,10004465,2020,Harashim,210
חשמונאים,3770,HASHMONA'IM,7,74,,73,,1,2712,2712,2706,,1985,190,,2023664872,252,711,10004054,2020,Hashmona'im,710
טבריה,6700,TIBERIAS,2,22,221,0,,1,45867,45141,42337,726,ותיק,160,,2493774370,11,207,10004552,2020,Tiberias,214
טובא-זנגרייה,962,TUBA-ZANGARIYYE,2,21,213,99,,2,6896,7,5,6889,,280,,2556276342,294,259,10004540,2020,Tuba-Zangariyye,211
טורעאן,498,TUR'AN,2,25,237,99,,2,14436,5,3,14431,,270,,2354674243,244,251,15002369,2020,Tur'an,214
טייבה,2730,TAYIBE,4,41,412,0,141,2,44585,53,24,44532,,260,,2008068569,64,402,10002155,2020,Tayibe,410
טייבה (בעמק),497,TAYIBE(BAEMEQ),2,23,233,8,,2,1919,5,5,1914,,450,,2420372335,103,204,10004394,2020,Tayibe(Baemeq),213
טירה,2720,TIRE,4,41,412,0,141,2,27036,63,20,26973,,260,,1958168225,61,403,10004769,2020,Tire,410
טירת יהודה,663,TIRAT YEHUDA,4,42,422,25,142,1,1237,1237,1235,,1949,310,2,1938865787,57,424,10002168,2020,Tirat Yehuda,
טירת כרמל,2100,TIRAT KARMEL,3,31,311,0,223,1,24296,24184,22886,112,1949,160,,1976774079,44,355,10004710,2020,Tirat Karmel,310
טירת צבי,268,TIRAT ZEVI,2,23,231,7,,1,923,923,922,,1937,330,3,2499570302,-219,202,10004568,2020,Tirat Zevi,214
טל-אל,1181,TAL-EL,2,24,243,56,241,1,1200,1200,1152,,1980,370,13,2170275899,115,205,15002143,2020,Tal-El,210
טל שחר,462,TAL SHAHAR,1,11,112,26,,1,1391,1391,1365,,1948,310,1,1908863475,118,151,15000597,2020,Tal Shahar,
טללים,1177,TELALIM,6,62,626,48,,1,562,562,539,,1980,330,15,1779654464,361,620,10001918,2020,Telalim,610
טלמון,3788,TALMON,7,74,,73,,1,4882,4882,4879,,1989,190,,2128164953,560,711,10004054,2020,Talmon,710
טמרה,8900,TAMRA,2,24,241,0,241,2,34877,37,16,34840,,260,,2180675104,93,263,15002411,2020,Tamra,310
טמרה (יזרעאל),547,TAMRA (YIZRE'EL),2,23,233,8,,2,1624,1,,1622,,450,,2381772670,219,204,10004394,2020,Tamra (Yizre'el),213
טנא,3743,TENE,7,77,,78,,1,925,925,910,,1983,370,11,1959158706,554,715,15003512,2020,Tene,
טפחות,1214,TEFAHOT,2,21,214,2,,1,509,509,509,,1980,310,2,2398375265,82,209,10004552,2020,Tefahot,211
יאנוח-ג'ת,1295,YANUH-JAT,2,24,243,99,,2,6775,2,2,6773,,280,,2232476507,466,255,10004484,2020,Yanuh-Jat,
יבול,1232,YEVUL,6,62,622,38,,1,354,354,352,,1981,310,10,1349756676,85,651,10001893,2020,Yevul,620
יבנאל,46,YAVNE'EL,2,22,222,99,,1,4332,4330,4274,2,1901,190,,2475073496,14,251,10004552,2020,Yavne'el,214
יבנה,2660,YAVNE,4,44,441,0,143,1,49836,49782,48384,54,1949,160,,1752164277,31,404,15002488,2020,Yavne,
יגור,96,YAGUR,3,31,311,12,223,1,1636,1636,1535,,1922,330,15,2075373859,17,301,10004207,2020,Yagur,310
יגל,798,YAGEL,4,43,432,40,133,1,907,907,905,,1950,310,1,1887165509,40,425,10002261,2020,Yagel,
יד בנימין,577,YAD BINYAMIN,4,44,441,31,143,1,4253,4253,4251,,1949,190,,1832563395,62,456,15002488,2020,Yad Binyamin,420
יד השמונה,1134,YAD HASHEMONA,1,11,111,26,444,1,293,293,136,,1978,320,10,2086063517,677,151,10002475,2020,Yad HaShemona,
יד חנה,758,YAD HANNA,4,41,412,16,141,1,959,958,937,1,1950,330,15,2007869249,53,409,10002155,2020,Yad Hanna,
יד מרדכי,358,YAD MORDEKHAY,6,61,614,36,,1,745,743,722,2,1943,330,15,1581461092,42,633,10001829,2020,Yad Mordekhay,
יד נתן,775,YAD NATAN,6,61,612,50,,1,659,656,648,4,1953,310,6,1721361788,76,634,10001813,2020,Yad Natan,
"יד רמב""ם",64,YAD RAMBAM,4,43,432,30,143,1,1119,1119,1098,,1955,310,2,1907264528,82,426,10002228,2020,Yad Rambam,
ידידה,1144,YEDIDA,1,11,111,26,444,1,228,227,222,1,1964,340,,2100963561,726,151,10002475,2020,Yedida,
יהוד-מונוסון,9400,YEHUD-MONOSON,4,42,422,0,132,1,30020,29986,29400,34,1948,160,,1893966002,40,411,10001516,2020,Yehud-Monoson,
יהל,1158,YAHEL,6,62,625,53,,1,233,233,212,,1976,330,15,2121144384,194,608,10001955,2020,Yahel,610
יובל,2009,YUVAL,2,21,211,55,,1,640,638,633,2,1952,310,1,2561279464,244,253,10004591,2020,Yuval,211
יובלים,1226,YUVALLIM,2,24,241,56,241,1,1088,1088,1077,,1982,370,7,2256175375,191,205,10004513,2020,Yuvallim,210
יודפת,1112,YODEFAT,2,24,241,56,241,1,907,906,868,1,1960,320,15,2257774918,429,205,10004513,2020,Yodefat,210
יונתן,4007,YONATAN,2,29,293,71,,1,770,770,770,,1976,320,2,2746276049,549,219,10004579,2020,Yonatan,211
יושיביה,803,YOSHIVYA,6,62,621,39,,1,700,699,698,1,1950,310,2,1628759479,131,651,10001930,2020,Yoshivya,620
יזרעאל,452,YIZRE'EL,2,23,234,8,,1,552,552,530,,1948,330,15,2304071866,89,204,10004394,2020,Yizre'el,213
יחיעם,409,YEHI'AM,2,24,243,4,,1,720,720,700,,1946,330,15,2209176694,358,201,10004302,2020,Yehi'am,212
יטבתה,866,YOTVATA,6,62,625,53,,1,720,720,700,,1951,330,15,2055242295,86,608,10001955,2020,Yotvata,610
"ייט""ב",3607,YITAV,7,75,,75,,1,322,322,296,,1970,320,15,2401765051,-108,712,10003299,2020,Yitav,710
יכיני,811,YAKHINI,6,61,614,37,,1,725,724,723,1,1950,310,1,1619959912,129,651,10001829,2020,Yakhini,620
ים המלח - בתי מלון,1772,,6,62,624,51,,,,,,,,520,,2345056749,-377,656,10001911,2020,,
